,data,target
1013,"Where was the Cisalpine Republic , 1797-185 , ?",LOC
1014,What was the name of Sergeant Preston of the Yukon 's lead dog ?,ENTY
1015,When did the Jurassic Period end ?,NUM
1016,When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities ?,NUM
1017,Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,ENTY
1018,In what ways did Ivan IV support Russian expansion ?,ENTY
1019,How did Super President gain his powers on the animated series ?,DESC
1020,What 's the claim to fame of night watchman Frank Wills ?,DESC
1021,What English queen had six fingers on one hand ?,HUM
1022,What was the name of the ball game played by the mayans ?,ENTY
1023,What 's the second-lightest element ?,ENTY
1024,How can I find online spelling ?,DESC
1025,What is the origin of the peace symbol ?,DESC
1026,Define cosmology .,DESC
1027,What does CNN stand for ?,ABBR
1028,Who was the actor who played Sam in the movie Casablanca ?,HUM
1029,How do I tie dye clothes ?,DESC
1030,Madonna hocks which soft drink ?,ENTY
1031,Who was the first king of England ?,HUM
1032,What year did Jack Nicklaus join the Professional Golfers Association tour ?,NUM
1033,Where is Dartmouth College ?,LOC
1034,Who invented the game bowling ?,HUM
1035,"What was the claim to fame of the football game that saw Fordham defeat Waynesburg State 12601 on September 3 , 1939 ?",DESC
1036,What is the tallest mountain ?,LOC
1037,What plants are found in an estuary ?,ENTY
1038,What is the telephone number for the University of Kentucky ?,NUM
1039,What body of water does the Danube River flow into ?,LOC
1040,Which Bloom County resident wreaks havoc with a computer ?,HUM
1041,What is a fear of bees ?,ENTY
1042,What is the term for the sum of all genetic material in a given organism ?,ENTY
1043,Who is the worst US President ever ?,HUM
1044,"Name a movie that the actress , Sandra Bullock , had a role in .",ENTY
1045,What was the highest mountain on earth before Mount Everest was discovered ?,LOC
1046,What is the most useful site on the Internet ?,LOC
1047,Why do they sterilize the needle for lethal injection ?,DESC
1048,What is the name of the deranged super-criminal Otto Octavius uses ?,HUM
1049,Which of the Seven Dwarfs comes first alphabetically ?,HUM
1050,What does an irate car owner call iron oxide ?,ENTY
1051,How many Leos have been Pope ?,NUM
1052,Who seized power from Milton Obote in 1971 ?,HUM
1053,"What was the claim to fame of Explorer I , launched February 1 , 1958 ?",DESC
1054,What international organization was founded by Clara Barton ?,HUM
1055,What game is Garry Kasparov really good at ?,ENTY
1056,Who was the first X-Man to die in battle ?,HUM
1057,What 's the name of a hotel in Indianapolis ?,LOC
1058,Who lived on the shores of the Gitchee Gumee River ?,HUM
1059,Who is Pia Zadora 's millionaire husband and mentor ?,HUM
1060,What 1965 film had Jack Lemmon portraying a cartoonist ?,ENTY
1061,Who told all in Ball Four ?,HUM
1062,Where can I find the status of my tax return ?,LOC
1063,What is the origin of a.m. and p.m. ?,DESC
1064,What province is Edmonton located in ?,LOC
1065,What continent pushes up the Executive Committee mountain range ?,LOC
1066,What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?,ENTY
1067,What is a fear of hell ?,ENTY
1068,What is SVHS ?,ABBR
1069,Who was the first doctor to successfully transplant a liver ?,HUM
1070,Who is the leader of Brunei ?,HUM
1071,What country has problems with hooligans ?,LOC
1072,What 's the motto of the Boy Scouts ?,DESC
1073,Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?,HUM
1074,How do you fix squeaky floors ?,DESC
1075,What is a Mexican hairless ?,DESC
1076,What state is Mount McKinley in ?,LOC
1077,What do camels store in their humps ?,ENTY
1078,What was the Ventura County police department that seized the county 's largest amount of cocaine ever ?,HUM
1079,What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?,HUM
1080,Why do they call it a `` funny bone '' ?,DESC
1081,Who was known as the Time Master in comic books ?,HUM
1082,Where is Mile High Stadium ?,LOC
1083,"What do you call a date that contains sequencing numbers , like 9-8-98 ?",ENTY
1084,Who was Damocles ?,HUM
1085,What piano company claims its product is the `` Instrument of the immortals '' ?,HUM
1086,"What does R.E.M. stand for , as in the rock group R.E.M. ?",ABBR
1087,What is the origin of the rock band Led Zeppelin 's name ?,DESC
1088,What was Franklin Roosevelt 's program for economic recovery called during the Great Depression ?,ENTY
1089,How does a copier work ?,DESC
1090,What character narrates Treasure Island ?,HUM
1091,How many zeros are there in a trillion ?,NUM
1092,How many people live in the Falklands ?,NUM
1093,What function does homeostasis have on the existence of an organism ?,DESC
1094,What college did Joe Namath play football for ?,HUM
1095,What is the name of the city that Maurizio Pellegrin lives in ?,LOC
1096,Who wrote The Ugly Duckling ?,HUM
1097,What does verdandi mean ?,DESC
1098,What are Maid-Rites ?,DESC
1099,Why is poop sometimes different colors ?,DESC
1100,What does `` antidisestablishmentarianism '' mean ?,DESC
1101,Who shared a New York City apartment with Roger Maris the year he hit 61 home runs ?,HUM
1102,What color are seven of every 10 houses in the U.S. ?,ENTY
1103,What were the five opening words on Ben Casey ?,ENTY
1104,What is Dr. Ruth 's last name ?,HUM
1105,What 's nature 's purpose for tornadoes ?,DESC
1106,What city was John F. Kennedy nominated for president in ?,LOC
1107,What is the name of Kevin Costner 's movie about Sioux Indians ?,ENTY
1108,What task does the Bouvier breed of dog perform ?,HUM
1109,How long ago did the Anglican church part from the Vatican ?,NUM
1110,Who recorded the 1957 hit Tammy ?,HUM
1111,"What actor , who had greatest fame on TV , became the father of triplets ?",HUM
1112,When did the use of `` the syringe '' first appear in medicinal history ?,NUM
1113,How many questions do you have on your database ?,NUM
1114,What is hebephrenia ?,DESC
1115,Where is your corpus callosum ?,LOC
1116,What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,DESC
1117,How do you buy stocks ?,DESC
1118,Who is the President of Ghana ?,HUM
1119,"What was Nine Tailors , the television show from 1974 , about ?",DESC
1120,What is the chemical reactivity of neon ?,NUM
1121,Who killed Lee Harvey Oswald ?,HUM
1122,What is the legal blood alcohol limit for the state of California ?,ENTY
1123,What is the difference between hair and fur ?,DESC
1124,How does marl form and what mineral does it contain ?,DESC
1125,How do you tell your parents you are dating an older man ?,DESC
1126,What disease is the second-biggest killer of North Americans ?,ENTY
1127,What is Bombay duck ?,DESC
1128,Who played the title role in I Was a Teenage Werewolf ?,HUM
1129,What is the abbreviation of the company name ` General Motors ' ?,ABBR
1130,What does S.O.S. stand for ?,ABBR
1131,What 's the Red Planet ?,DESC
1132,What is a hydrogen bond ?,DESC
1133,Who first broke the sound barrier ?,HUM
1134,What is Boston Kreme ?,DESC
1135,Where is one 's corpus callosum found ?,LOC
1136,How many types of dogs ' tails are there - three,NUM
1137,What is a firewall ?,DESC
1138,How many quarts of whole milk is needed to make one pound of butter ?,NUM
1139,What fool is not so wise To lose an oath to win a paradise ?,HUM
1140,What war did the Potsdam Conference follow ?,ENTY
1141,What is the current unemployment rate in the U.S. ?,NUM
1142,What U.S. state are the Finger Lakes in ?,LOC
1143,What are the unemployment statistics for the years 1965 and 1990 ?,NUM
1144,What drink is the best thirst-quencher ?,ENTY
1145,Who 's the lead singer of the Led Zeppelin band ?,HUM
1146,How long does it take to travel from Tokyo to Niigata ?,NUM
1147,What occupation has the highest divorce rate ?,HUM
1148,What 's the highest possible bid in Contract Bridge ?,ENTY
1149,What English word contains the most letters ?,ENTY
1150,Why is the moon different sizes and colors ?,DESC
1151,How many times more than 3,NUM
1152,What 1953 film won Frank Sinatra a best supporting actor Oscar ?,ENTY
1153,What is Cabarnet Sauvignon ?,DESC
1154,How many John Deere tractors have been manufactured ?,NUM
1155,What else has the swastika stood for ?,DESC
1156,What is another word for diet ?,ENTY
1157,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,LOC
1158,Who sang about Desmond and Molly Jones ?,HUM
1159,What is carpal tunnel syndrome ?,DESC
1160,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,LOC
1161,What is the S&P 500 used for ?,DESC
1162,What 's a perfect score in a gymnastics exercise ?,NUM
1163,What are some good medical sites for information ?,LOC
1164,How many American actors were nominated for the best actor Oscar for 1983 ?,NUM
1165,What are the words to the Canadian National anthem ?,DESC
1166,"What are Kythnos , Siphnos , Seriphos and Mykonos ?",DESC
1167,"What was Mao , the Chinese leader 's , full name ?",HUM
1168,What state was Herbert Hoover born in ?,LOC
1169,What multitalented Academy-award-winning director failed a college course in motion-picture production ?,HUM
1170,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",LOC
1171,What mountain range extends from the Gulf of St. Lawrence to Alabama ?,LOC
1172,What is the greatest source of `` white '' magic in the Marvel Universe ?,ENTY
1173,What is the collective noun for geese ?,ENTY
1174,How many watts make a kilowatt ?,NUM
1175,What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,HUM
1176,"Where on the Web is Adventours Tours from Sydney , Australia ?",LOC
1177,What 's the name of Popeye 's adopted son ?,HUM
1178,How many Russians have landed on the moon ?,NUM
1179,What D.H. Lawrence novel was originally titled Tenderness ?,ENTY
1180,Who invented silly putty ?,HUM
1181,What New England state carries the telephone area code 27 ?,LOC
1182,Who declared,HUM
1183,What is the orgin of xoxoxox ?,DESC
1184,How does the speed the magnet spins in a generator affect the output of the generator ?,DESC
1185,What will the California gas tax be in the year 2000 ?,NUM
1186,Define Spumante .,DESC
1187,"What kind of creatures are black , yellow , and brown bullheads ?",ENTY
1188,Where is the Orinoco ?,LOC
1189,Who wrote The Look of Love after viewing Ursula Andress ?,HUM
1190,What sport is known for hooligans ?,ENTY
1191,What two countries are separated by the Bering Strait ?,LOC
1192,Who lives at 39 Stone Canyon Way ?,HUM
1193,What is the fine for having a dog on a beach ?,NUM
1194,What are the top 5 fiction books of all time ?,ENTY
1195,What is the English meaning of caliente ?,DESC
1196,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?",DESC
1197,How many people were executed for Abraham Lincoln 's assassination ?,NUM
1198,"Where is the actress , Marion Davies , buried ?",LOC
1199,Which one of the Great Lakes is entirely within U.S. territory ?,LOC
1200,What was the first country to put a second woman in space ?,LOC
1201,What kind of sports team is the Buffalo Sabres ?,ENTY
1202,Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,HUM
1203,Where are the headquarters of Eli Lilly ?,LOC
1204,What three European countries begin with the letter A ?,LOC
1205,How many gallons of water go over Niagra Falls every second ?,NUM
1206,What professional sports league originated the college draft ?,HUM
1207,What 's the only mammal that can 't jump ?,ENTY
1208,What does seccession mean ?,DESC
1209,Mississippi has what name for a state nickname ?,LOC
1210,How many claws has a lobster called a pistol lost ?,NUM
1211,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",LOC
1212,What whisky is `` known by the company it keeps '' ?,ENTY
1213,What does Playboy title its `` continuing dialog on contemporary issues between Playboy and its readers '' ?,ENTY
1214,Rotary engines used to be made by whom ?,HUM
1215,What is the origin of the word assassinate ?,DESC
1216,What does RCA stand for ?,ABBR
1217,What do Hasidic Jews refrain from while dating ?,ENTY
1218,What is the name for clouds that produce rain ?,ENTY
1219,What relative of the racoon is sometimes known as the cat-bear ?,ENTY
1220,Which country is known as `` Big Bear '' ?,LOC
1221,Who is the director and editor of the movie Big starring Tom Hanks ?,HUM
1222,What is a geoscientist ?,DESC
1223,What was the tragedy that struck the city of Dogtown in 1899 ?,ENTY
1224,What do most tourists visit in Reims ?,LOC
1225,Why do we ask for the `` check '' and not the bill at a restaurant ?,DESC
1226,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,HUM
1227,What is the first day of the week ?,NUM
1228,How many people in the world speak French ?,NUM
1229,What 's the best way to lose the flab under your chin and around your face ?,ENTY
1230,What is the feudal system ?,DESC
1231,When are sheep shorn ?,NUM
1232,What is a fear of motion ?,ENTY
1233,What was The Living Room War ?,DESC
1234,Who are cartoondom 's Super Six ?,HUM
1235,Who was the first Taiwanese President ?,HUM
1236,When was the De Beers company founded ?,NUM
1237,What is the address of the famous Mexican star `` Thalia '' ?,LOC
1238,Where can I find the history of the Taiwanese language ?,LOC
1239,What substance did Joseph Priestley name for its ability to erase pencil marks ?,ENTY
1240,What South American city has the world 's highest commercial landing field ?,LOC
1241,What is the name of the song that Dracula plays on the organ ?,ENTY
1242,What is an isthmus ?,DESC
1243,How many Grammys did Michael Jackson win in 1983 ?,NUM
1244,What is the oldest website on the Internet ?,LOC
1245,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,DESC
1246,What was the date of Iraq 's invasion of Kuwait ?,NUM
1247,How do birds have sex ?,DESC
1248,What African capital is named for a U.S. president ?,LOC
1249,When was John D. Rockefeller born ?,NUM
1250,What volcano showers ash on Sicily ?,LOC
1251,How many people die of tuberculosis yearly ?,NUM
1252,Name the only extant trilogy of classical Greek plays .,ENTY
1253,What is Bella Abzug 's sartorial trademark ?,ENTY
1254,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,ENTY
1255,What are field effect transistors ?,DESC
1256,What country has the most coastline ?,LOC
1257,"What magazine paid $5 , 000 for an eight-millimeter film of John F. Kennedy 's assassination ?",ENTY
1258,What is a fear of children ?,ENTY
1259,What is a fear of food ?,ENTY
1260,What are the residents of the island of Lesbos called ?,HUM
1261,What must be exceeded to produce a sonic boom ?,ENTY
1262,What store does Martha Stewart advertise for ?,HUM
1263,Who was Quetzalcoatl ?,HUM
1264,Where can I find a world atlas map online at no charge ?,LOC
1265,What is the Pennsylvania state income tax rate ?,NUM
1266,Where can I buy a good snowboard for less than $200 ?,LOC
1267,"What is Black Hills , South Dakota most famous for ?",DESC
1268,How do I find the balance of my social security account ?,DESC
1269,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,DESC
1270,How long did the Charles Manson murder trial last ?,NUM
1271,What makes a clitoris sensitive ?,DESC
1272,How many years ago did the ship Titanic sink ?,NUM
1273,What vowel do all Esperanto nouns end in ?,ENTY
1274,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,HUM
1275,What made Jane Goodall famous ?,DESC
1276,What is a fear of touching ?,ENTY
1277,How do you correctly say the word ` qigong ' ?,DESC
1278,What makes salt ?,DESC
1279,Where can I find out the top 1 singles ?,LOC
1280,How do you make a paintball ?,DESC
1281,What book did Aaron Hass write ?,ENTY
1282,What term does a Czech use to describe a Pole ?,ENTY
1283,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",HUM
1284,How does General Mills manufacture Cheerios ?,DESC
1285,Name the food company that traveled to Soviet Georgia to film a series of ads .,HUM
1286,What was the first Sam Spade novel ?,ENTY
1287,Who made the first airplane ?,HUM
1288,Who is Edmund Kemper ?,HUM
1289,What U.S. state boasts Leif Ericson Park ?,LOC
1290,Where is the Virtual Desk Reference ?,LOC
1291,"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?",ENTY
1292,What therapy attempts to elicit the `` primal scream '' ?,ENTY
1293,How do I change a file from an ART file to a JPEG or Bitmap file ?,DESC
1294,How do I keep cats out of my flower garden for good ?,DESC
1295,Who produces Spumante ?,HUM
1296,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,HUM
1297,What is `` Vocal Sampling '' ?,DESC
1298,How many syllables are there in a line of hendecasyllabic poetry ?,NUM
1299,The Shea & Gould law firm had an office in L.A. for how many years ?,NUM
1300,How can I find out how much it costs to raise a baby for six months ?,DESC
1301,What color is most often used to symbolize truth ?,ENTY
1302,What has to be produced in a writ of habeas corpus ?,ENTY
1303,What season is the setting for Shakespeare 's Midsummer Night 's Dream ?,NUM
1304,What is moxie ?,DESC
1305,What Sinatra hit did he dooby dooby do in ?,ENTY
1306,How do you write MLA style bibliographies for an Internet source ?,DESC
1307,Who led the opposition when Konrad Adenauer was Chancellor in Germany ?,HUM
1308,What states do not have state income tax ?,LOC
1309,Who invented the road traffic cone ?,HUM
1310,Name a product that controls the ripening of apples .,ENTY
1311,What is the highest continent ?,LOC
1312,Who portrayed Maggio in the film From Here to Eternity ?,HUM
1313,What measures did Clinton take to avoid the draft ?,ENTY
1314,What is the city in which Maurizio Pellegrin lives called ?,LOC
1315,Why is hockey so violent ?,DESC
1316,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,LOC
1317,What are the major differences in the Catholic and Methodist religions ?,DESC
1318,Who starred in Singing in the Rain and The Singing Nun ?,HUM
1319,What is Nathan Hamill 's role in the new Star Wars prequel ?,HUM
1320,What are all the different kinds of contraceptives ?,ENTY
1321,What is the definition of the Scrabble word ` syzygy ' ?,DESC
1322,"Who manufactures the software , `` PhotoShop '' ?",HUM
1323,Who claims to have the greatest show on earth ?,HUM
1324,Who leads the star ship Enterprise in Star Trek ?,HUM
1325,What kind of hat does Bat Masterson wear ?,ENTY
1326,What is the definition of ` graphic details ' ?,DESC
1327,What U.S. Congressman said,HUM
1328,What was the tallest building in America in 1922 ?,LOC
1329,What is a word whose letters can be rearranged to form a different word ?,ENTY
1330,What is a nanometer ?,DESC
1331,What George Harrison tune sounded too much like He 's So Fine by The Chiffons ?,ENTY
1332,What board game does a `` wood-pusher '' play poorly ?,ENTY
1333,What does a dipsomaniac crave ?,ENTY
1334,What famed library can you reach by dialing 22-287-5 ?,LOC
1335,Who is Mia Farrow 's mother ?,HUM
1336,When was the first American encyclopedia published ?,NUM
1337,What university fired Angela Davis ?,HUM
1338,Who killed Gandhi ?,HUM
1339,What 1915 film was the first to gross $5 million ?,ENTY
1340,Who won the first World Series ?,HUM
1341,Who was Darth Vader 's son ?,HUM
1342,What is the correct way to mount a roll of toilet paper ?,ENTY
1343,When were camcorders introduced in Malaysia ?,NUM
1344,What are the ages in comic book lingo ?,ENTY
1345,How did the Great Depression affect Japan 's history ?,DESC
1346,What cards are bullets ?,ENTY
1347,What river runs through Liverpool ?,LOC
1348,Name the various costumed personas of Dr. Henry Pym .,HUM
1349,What are the lengths of pearl necklaces ?,NUM
1350,Why was the L.A. office of Shea and Gould closed ?,DESC
1351,What chapter of the Bible has the most verses ?,NUM
1352,What comic of TV 's golden age went by the motto `` Anything for a laugh '' ?,HUM
1353,What Hall of Fame pitcher started three World Series Games for the New York Yankees in 1962 ?,HUM
1354,Which city has the oldest relationship as a sister�city with Los Angeles ?,LOC
1355,Where is Romania located ?,LOC
1356,Where do the Blackhawks maintain their operations ?,LOC
1357,In what year did Thatcher gain power ?,NUM
1358,What city does McCarren Airport serve ?,LOC
1359,How many James Bond novels are there ?,NUM
1360,Who said `` the only thing we have to fear is fear itself '' ?,HUM
1361,What team did Babe Ruth play his first major league game for ?,HUM
1362,Where do rocks come from ?,DESC
1363,Who wrote the Bible ?,HUM
1364,What 's the name of the temple that is located near the capital city of Laos ?,LOC
1365,What cathedral was Thomas Becket murdered in ?,LOC
1366,How is Easter Sunday 's date determined ?,DESC
1367,What was the name of Betty Boop 's dog ?,ENTY
1368,What are some tips for building a fire in a fireplace ?,ENTY
1369,Why do pressure cookers save time in the kitchen ?,DESC
1370,How far can you see ?,NUM
1371,What is a storm surge ?,DESC
1372,Name the country which Honecker lived in .,LOC
1373,How many URL extensions are there ? and what are they ?,NUM
1374,What is the contents of proposition 98 ?,DESC
1375,How can someone become a federal agent ?,DESC
1376,How much was the minimum wage in 1991 ?,NUM
1377,Where is the Thomas Edison Museum ?,LOC
1378,What Don McLean song laments the day Buddy Holly died ?,ENTY
1379,How does a small businessman contact the Good Humor Ice Cream company to do business with them ?,DESC
1380,How does a hurricane form ?,DESC
1381,What famed wall supports the Badaling turret ?,LOC
1382,What country has the highest per capita consumption of cheese ?,LOC
1383,"What sport features slotbacks , tailbacks , and touchbacks ?",ENTY
1384,What do a diamond and lump of coal have in common ?,DESC
1385,What are birds descendents of ?,ENTY
1386,What were the ceremony traditions like during the Elizabethian times ?,ENTY
1387,How do I register a trade name in North Carolina ?,DESC
1388,What is the celtic symbol for `` life '' ?,ENTY
1389,Name the first private citizen to fly in space .,HUM
1390,What does IOC stand for ?,ABBR
1391,What are the lyrics to the Star Spangled Banner ?,DESC
1392,In what high-risk business venture did Jimmy the Greek bet and lose ?,HUM
1393,What is the weight of air ?,NUM
1394,"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?",HUM
1395,What was Eduard Shevardnadze 's job in the Soviet Union ?,HUM
1396,How did ` stat ' come to be used as an expression for quickly ?,DESC
1397,When did the Berlin Wall go up ?,NUM
1398,What do I call the sons and daughters of my first cousins ?,ENTY
1399,What color were Ernest Hemingway 's eyes ?,ENTY
1400,What New Orleans D.A. claimed,HUM
1401,What Catch-22 character is elected mayor of half a dozen Italian cities ?,HUM
1402,What does NAFTA stand for ?,ABBR
1403,What is the only animal that can turn its stomach inside out ?,ENTY
1404,What horse did Zorro ride ?,ENTY
1405,What does Melissa mean ?,DESC
1406,How many horses died during the civil war ?,NUM
1407,What interesting method was used to run the credits in the early Popeye cartoons ?,ENTY
1408,Where did the ukulele originate ?,LOC
1409,How tall was the animated Frankenstein,NUM
1410,What is Chiricahua the name of ?,ENTY
1411,What U.S. President showed a fondness for munching on bee pollen bars ?,HUM
1412,"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?",ENTY
1413,What is Li 'l Abner 's last name ?,HUM
1414,Where are zebras most likely found ?,LOC
1415,What time of day did Emperor Hirohito die ?,NUM
1416,How do you say 2 in Latin ?,ENTY
1417,What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,HUM
1418,What is the starting salary for beginning lawyers ?,NUM
1419,What are the seven virtues ?,DESC
1420,How many Vietnamese were there in the Soviet Union ?,NUM
1421,When was Franklin D. Roosevelt stricken with polio ?,NUM
1422,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,LOC
1423,How long does a dog sleep ?,NUM
1424,Which airplane did Fawaz Younis hijack ?,ENTY
1425,How many Americans fought for the British in the American Revolution ?,NUM
1426,When was Berlin 's Brandenburg gate erected ?,NUM
1427,What kind of flowers does detective Nero Wolfe raise ?,ENTY
1428,Saddam Hussein was compared to whom by President Bush ?,HUM
1429,What was the name of the flight that Fawaz Younis hijacked ?,ENTY
1430,What is the first book of the Old Testament ?,ENTY
1431,What is the amount of money owed for illegally having a dog on a beach ?,NUM
1432,What did n't Rocky Marciano do in his pro boxing career ?,DESC
1433,What food did Marco Polo introduce into Italy from the court of Kubla Khan ?,ENTY
1434,What is white chocolate ?,DESC
1435,What countries have the most auto thefts ?,LOC
1436,Where does the weird shape of the dinner fish knife originate from ?,LOC
1437,How can I determine the radius of an ellipse ?,DESC
1438,What is the cost of the drugs used in tuberculosis treatments ?,NUM
1439,"What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?",HUM
1440,What is a Canada two-penny black ?,DESC
1441,Who are the two sons of Ozzie and Harriet Nelson ?,HUM
1442,How does Zatanna perform her magic in DC comics ?,DESC
1443,"What is a fear of odors , body , ?",ENTY
1444,In what county is Eckley Colorado ?,LOC
1445,What football bowl game 's first queen was Hallie Woods ?,ENTY
1446,How do I find a city if I have the area code ?,DESC
1447,What baseball team was routinely called `` dem bums '' by its frustrated fans ?,HUM
1448,What exactly is radiation ?,DESC
1449,What is the world record for the longest hair ?,NUM
1450,What future President became Senate majority whip under Harry Truman ?,HUM
1451,How many Israeli athletes were killed at the Munich Olympics ?,NUM
1452,What do I have to do to get good grades in school ?,DESC
1453,Who is the mathematician that won the Noble Prize for Literature in 1950 ?,HUM
1454,How many rows of sprocket holes does a roll of 35-millimeter film have ?,NUM
1455,What company tabulates the ballots in voting for the Academy Awards ?,HUM
1456,What was another name for East Germany ?,ENTY
1457,Who did the Seven Mules block for ?,HUM
1458,What is the most heavily caffeinated soft drink ?,ENTY
1459,What role do fruits play in the survival of plants ?,HUM
1460,What delicacy is known indelicately as pickled roe ?,ENTY
1461,What pseudonym did William Sydney Porter use in writing The Gift of the Magi ?,HUM
1462,Which cats pursued Tweety Pie in his first cartoon appearance ?,ENTY
1463,How many of them are in sub-Saharan Africa ?,NUM
1464,CPR is the abbreviation for what ?,ABBR
1465,What people make up half the Soviet Union 's population ?,HUM
1466,What is the protection rate of using condoms ?,NUM
1467,Where can I find info on Alexander Mackenzie ?,LOC
1468,What is the nickname for the state of Mississippi ?,LOC
1469,How many people died in the Vietnam war ?,NUM
1470,What two presidents of the U.S. published books of poetry ?,HUM
1471,What country has the highest arson rate ?,LOC
1472,Name Li 'l Abner 's favorite Indian drink .,ENTY
1473,What author landed a 468-pound marlin without harness in the early 193 's ?,HUM
1474,"What word occurs 46 , 227 times in the Bible ?",ENTY
1475,"What was the real name of writer Ross Macdonald , creator of the hero Lew Archer ?",HUM
1476,How many cards is each player dealt in Contract Bridge ?,NUM
1477,What does G.M.T. stand for ?,ABBR
1478,What is the history of `` the toast '' ?,DESC
1479,When did swimming become commonplace ?,NUM
1480,Who is King in Alley Oop 's home of Moo ?,HUM
1481,How far do you have to run if you hit a home run ?,NUM
1482,How old is Bernadette Peters ?,NUM
1483,What causes an earthquake ?,DESC
1484,How many Gutenberg Bibles are there ?,NUM
1485,What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?,ENTY
1486,What is the brand name of daminozide ?,ENTY
1487,How many people did Randy Craft kill ?,NUM
1488,Which continent has the most roses ?,LOC
1489,How much money does each player get at the beginning of the game in Monopoly ?,NUM
1490,Why did Europeans first come to Australia and Oceania ?,DESC
1491,What was a California prayer book to an Old West gambler ?,ENTY
1492,What U.S. vice-president once declared,HUM
1493,"What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",HUM
1494,What was Einstein 's IQ ?,NUM
1495,What age is Benny Carter ?,NUM
1496,Where in the United States do people live the longest ?,LOC
1497,What was Mark Johnson referring to when he said,ENTY
1498,What is in baby powder and baby lotion that makes it smell the way it does ?,DESC
1499,What actor was the first man to appear on the cover of McCall 's ?,HUM
1500,What was the role of the Medieval Guild ?,HUM
1501,"What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?",HUM
1502,How many neurons are in the human brain ?,NUM
1503,What is the current population for these countries,NUM
1504,Which large U.S. city had the highest murder rate for 1988 ?,LOC
1505,How many feet long is a baseball pitcher 's rubber ?,NUM
1506,What is an urban legend ?,DESC
1507,How many real fruit juices are there in a can of Hawaiian Punch ?,NUM
1508,Who is Ishmael in Moby Dick ?,HUM
1509,Where must a soccer goalie stand to be permitted to handle the ball ?,LOC
1510,Name the On Stage character whose face was never seen .,HUM
1511,What is the only substance that gives food its `` taste '' when eaten ?,ENTY
1512,What U.S. general was court-martialled for criticizing American air power ?,HUM
1513,What is a female rabbit called ?,ENTY
1514,What is the difference between jazz and blues ?,DESC
1515,What 's comic strip photographer Peter Parker 's secret identity ?,HUM
1516,Where were the 196 Summer Olympics held ?,LOC
1517,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,LOC
1518,How far away is the moon ?,NUM
1519,Name the four stories contained in Edith Wharton 's `` Old New York . '',ENTY
1520,How many children does Ray Davies of the Kinks have ?,NUM
1521,"The lawyer who represented Randy Craft , what was his name ?",HUM
1522,What film opens with an assassin tumbling from the Seattle Space Needle ?,ENTY
1523,What dummy received an honorary degree from Northwestern University ?,HUM
1524,For what reason did some San Diego schools stop serving apples ?,DESC
1525,What California governor said,HUM
1526,What is hyperopia ?,DESC
1527,What island group is Guadalcanal a part of ?,LOC
1528,What is a meerkat ?,DESC
1529,What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,LOC
1530,"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",ENTY
1531,How does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' .,DESC
1532,What is the average hourly rate of American workers ?,NUM
1533,Who wrote Unsafe at Any Speed ?,HUM
1534,How hot should the oven be when making Peachy Oat Muffins ?,NUM
1535,Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?,HUM
1536,What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?,HUM
